CHR     Cluster   N_SNPs       Start_BP         End_BP        Span_BP  Top_SNP                      -log10P
1             1        9            393         37,774         37,381  .                            185.017
1             2        3        182,432        211,416         28,984  .                             14.203
1             3        4        328,865        345,111         16,246  .                            233.442
1             4        7        414,228        461,339         47,111  .                             10.440
1             5       15        570,964        705,406        134,442  .                            185.017
1             6       26        862,448      1,155,523        293,075  .                            233.442
1             7       45      1,313,078      1,640,286        327,208  .                            233.442
1             8        3      1,782,727      1,785,793          3,066  .                            140.111
1             9        1      2,473,695      2,473,695              0  .                             15.396
1            10        1      2,577,384      2,577,384              0  .                             16.455
1            11       57      2,659,924      2,910,745        250,821  .                            215.552
1            12       29      2,980,325      3,099,836        119,511  .                            215.552
1            13        2      3,410,620      3,410,741            121  .                             18.820
1            14        1      3,607,852      3,607,852              0  .                             14.625
1            15       35      4,223,222      4,317,246         94,024  .                            144.686
1            16       32      4,379,889      4,505,874        125,985  .                             18.769
1            17       12      4,568,729      4,619,918         51,189  .                            122.081
1            18       61      4,931,778      5,072,070        140,292  .                            140.111
1            19        1      5,231,930      5,231,930              0  .                              7.872
1            20        3      5,445,955      5,494,249         48,294  .                              9.382
1            21       25      5,571,408      5,602,481         31,073  .                            231.029
1            22       37      5,659,171      5,801,574        142,403  .                            233.442
1            23        9      6,189,109      6,214,357         25,248  .                            190.800
1            24       37      6,589,940      6,678,559         88,619  .                            101.658
1            25       60      6,785,526      6,970,880        185,354  .                            215.552
1            26        2      7,144,461      7,155,776         11,315  .                              8.898
1            27      130      7,226,908      7,512,118        285,210  .                            215.552
1            28        1      7,608,023      7,608,023              0  .                              7.860
1            29        1      7,773,777      7,773,777              0  .                              9.382
1            30      149      8,228,736      8,614,763        386,027  .                            233.442
1            31        1      8,975,100      8,975,100              0  .                              7.872
1            32        6      9,082,818      9,130,611         47,793  .                              8.891
1            33       67      9,244,140      9,436,242        192,102  .                            144.686
1            34       45      9,574,177      9,707,730        133,553  .                            185.247
1            35      148      9,810,290     10,072,231        261,941  .                            190.800
